error_class,llm_model,ratio,count,total
ValueError,gemini-1.5-pro-latest,54.619,4795,8779
TypeError,gemini-1.5-pro-latest,9.648,847,8779
KeyError,gemini-1.5-pro-latest,9.454,830,8779
AttributeError,gemini-1.5-pro-latest,1.811,159,8779
FileNotFoundError,gemini-1.5-pro-latest,7.051,619,8779
NameError,gemini-1.5-pro-latest,3.907,343,8779
ModuleNotFoundError,gemini-1.5-pro-latest,4.932,433,8779
IndexError,gemini-1.5-pro-latest,2.221,195,8779
InvalidIndexError,gemini-1.5-pro-latest,3.372,296,8779
SyntaxError,gemini-1.5-pro-latest,0.308,27,8779
MemoryError,gemini-1.5-pro-latest,1.504,132,8779
UFuncTypeError,gemini-1.5-pro-latest,0.011,1,8779
PicklingError,gemini-1.5-pro-latest,0.592,52,8779
ImportError,gemini-1.5-pro-latest,0.171,15,8779
IndentationError,gemini-1.5-pro-latest,0.057,5,8779
AxisError,gemini-1.5-pro-latest,0.011,1,8779
InvalidParameterError,gemini-1.5-pro-latest,0.011,1,8779
NotFittedError,gemini-1.5-pro-latest,0.068,6,8779
RecursionError,gemini-1.5-pro-latest,0.000,0,8779
OutOfBoundsDatetime,gemini-1.5-pro-latest,0.103,9,8779
AssertionError,gemini-1.5-pro-latest,0.000,0,8779
NotImplementedError,gemini-1.5-pro-latest,0.046,4,8779
IntCastingNaNError,gemini-1.5-pro-latest,0.011,1,8779
ZeroDivisionError,gemini-1.5-pro-latest,0.000,0,8779
ValueError,llama3-70b-8192,79.469,14167,17827
TypeError,llama3-70b-8192,11.410,2034,17827
KeyError,llama3-70b-8192,1.851,330,17827
AttributeError,llama3-70b-8192,2.805,500,17827
FileNotFoundError,llama3-70b-8192,0.000,0,17827
NameError,llama3-70b-8192,0.634,113,17827
ModuleNotFoundError,llama3-70b-8192,0.022,4,17827
IndexError,llama3-70b-8192,1.122,200,17827
InvalidIndexError,llama3-70b-8192,0.000,0,17827
SyntaxError,llama3-70b-8192,0.858,153,17827
MemoryError,llama3-70b-8192,0.011,2,17827
UFuncTypeError,llama3-70b-8192,0.673,120,17827
PicklingError,llama3-70b-8192,0.151,27,17827
ImportError,llama3-70b-8192,0.213,38,17827
IndentationError,llama3-70b-8192,0.185,33,17827
AxisError,llama3-70b-8192,0.202,36,17827
InvalidParameterError,llama3-70b-8192,0.163,29,17827
NotFittedError,llama3-70b-8192,0.079,14,17827
RecursionError,llama3-70b-8192,0.095,17,17827
OutOfBoundsDatetime,llama3-70b-8192,0.000,0,17827
AssertionError,llama3-70b-8192,0.050,9,17827
NotImplementedError,llama3-70b-8192,0.000,0,17827
IntCastingNaNError,llama3-70b-8192,0.000,0,17827
ZeroDivisionError,llama3-70b-8192,0.006,1,17827
