dataset_name,config,performance
Airline,CatDB,1.0
Airline,CAAFE,-0.15
Airline,AIDE,1.0
Airline,AutoSklearn,-0.15
Airline,H2O,1.0
Airline,Flaml,-0.15
Airline,Autogluon,-0.15
IMDB,CatDB,0.9998728394342044
IMDB,CAAFE,-0.15
IMDB,AIDE,-0.15
IMDB,AutoSklearn,-0.15
IMDB,H2O,1.0
IMDB,Flaml,0.999999923414354
IMDB,Autogluon,0.975068378470847
Accidents,CatDB,0.9420197617703848
Accidents,CAAFE,-0.15
Accidents,AIDE,-0.15
Accidents,AutoSklearn,-0.15
Accidents,H2O,0.909661618421674
Accidents,Flaml,0.953682641611346
Accidents,Autogluon,0.971774103901974
Financial,CatDB,1.0
Financial,CAAFE,-0.15
Financial,AIDE,-0.15
Financial,AutoSklearn,-0.15
Financial,H2O,1.0
Financial,Flaml,1.0
Financial,Autogluon,0.999998749180572
Yelp,CatDB,0.9826
Yelp,CAAFE,-0.15
Yelp,AIDE,-0.15
Yelp,AutoSklearn,-0.15
Yelp,H2O,0.772331158307747
Yelp,Flaml,0.767494102832019
Yelp,Autogluon,0.819449034890654
EU IT,CatDB,0.918
EU IT,CAAFE,-0.15
EU IT,AIDE,-0.15
EU IT,AutoSklearn,-0.15
EU IT,H2O,-0.15
EU IT,Flaml,-0.15
EU IT,Autogluon,-0.15
Etailing,CatDB,0.999998127090301
Etailing,CAAFE,0.7104850705795909
Etailing,AIDE,0.697898690972329
Etailing,AutoSklearn,-0.15
Etailing,H2O,0.531317219294284
Etailing,Flaml,0.649936797980668
Etailing,Autogluon,0.677662875459341
Survey,CatDB,0.971218181178407
Survey,CAAFE,0.97747321955592
Survey,AIDE,0.9065742996931404
Survey,AutoSklearn,-0.15
Survey,H2O,0.843307781386043
Survey,Flaml,0.981332440210756
Survey,Autogluon,0.934667319498727
WiFi,CatDB,1.0
WiFi,CAAFE,0.5656108597285068
WiFi,AIDE,-0.15
WiFi,AutoSklearn,-0.15
WiFi,H2O,0.610859728506787
WiFi,Flaml,0.737556561085973
WiFi,Autogluon,0.610859728506787
Utility,CatDB,0.9882360804757772
Utility,CAAFE,-0.15
Utility,AIDE,0.9906068425252506
Utility,AutoSklearn,-0.15
Utility,H2O,-0.15
Utility,Flaml,0.990246792937758
Utility,Autogluon,0.995608414471055
Breast-w,CatDB,0.9948857113036218
Breast-w,CAAFE,0.99247198955597
Breast-w,AIDE,0.9967644296002504
Breast-w,AutoSklearn,-0.15
Breast-w,H2O,-0.15
Breast-w,Flaml,-0.15
Breast-w,Autogluon,-0.15
CMC,CatDB,0.6884823405541486
CMC,CAAFE,0.731358249069386
CMC,AIDE,0.720211947177985
CMC,AutoSklearn,-0.15
CMC,H2O,0.751727104590882
CMC,Flaml,0.772313970448908
CMC,Autogluon,0.257176523733296
Credit-g,CatDB,0.8065881486934119
Credit-g,CAAFE,0.74781963873936
Credit-g,AIDE,0.8015142751984857
Credit-g,AutoSklearn,-0.15
Credit-g,H2O,-0.15
Credit-g,Flaml,-0.15
Credit-g,Autogluon,-0.15
Diabetes,CatDB,1.0
Diabetes,CAAFE,0.859263340185166
Diabetes,AIDE,-0.15
Diabetes,AutoSklearn,-0.15
Diabetes,H2O,-0.15
Diabetes,Flaml,-0.15
Diabetes,Autogluon,-0.15
Tic-Tac-Toe,CatDB,0.9998363785110445
Tic-Tac-Toe,CAAFE,0.962203175631244
Tic-Tac-Toe,AIDE,1.0
Tic-Tac-Toe,AutoSklearn,-0.15
Tic-Tac-Toe,H2O,-0.15
Tic-Tac-Toe,Flaml,1.0
Tic-Tac-Toe,Autogluon,1.0
Nomao,CatDB,0.9943487005773732
Nomao,CAAFE,0.991624615231108
Nomao,AIDE,0.9956160007139564
Nomao,AutoSklearn,-0.15
Nomao,H2O,-0.15
Nomao,Flaml,-0.15
Nomao,Autogluon,-0.15
Gas-Drift,CatDB,0.9993852457363612
Gas-Drift,CAAFE,0.999727911931137
Gas-Drift,AIDE,0.9994447592142088
Gas-Drift,AutoSklearn,-0.15
Gas-Drift,H2O,-0.15
Gas-Drift,Flaml,-0.15
Gas-Drift,Autogluon,-0.15
Walking,CatDB,0.963104378109865
Walking,CAAFE,-0.15
Walking,AIDE,0.9634935616195162
Walking,AutoSklearn,0.5
Walking,H2O,0.817748487886672
Walking,Flaml,0.966526224102118
Walking,Autogluon,0.962214357734594
Bike-Sharing,CatDB,0.9206556571721226
Bike-Sharing,CAAFE,-0.15
Bike-Sharing,AIDE,0.942724637038542
Bike-Sharing,AutoSklearn,0.9432784740165092
Bike-Sharing,H2O,-0.15
Bike-Sharing,Flaml,0.9382192656884704
Bike-Sharing,Autogluon,0.6429473244481996
House-Sales,CatDB,0.9999836158740129
House-Sales,CAAFE,-0.15
House-Sales,AIDE,0.7541836224382773
House-Sales,AutoSklearn,0.898613452506699
House-Sales,H2O,-0.15
House-Sales,Flaml,0.899437039471829
House-Sales,Autogluon,0.90345787896951
NYC,CatDB,0.6722792148282706
NYC,CAAFE,-0.15
NYC,AIDE,0.6925986705175462
NYC,AutoSklearn,0.6241225976479896
NYC,H2O,-0.15
NYC,Flaml,0.6882405925001989
NYC,Autogluon,0.4516518643770014
Volkert,CatDB,0.9305388734930846
Volkert,CAAFE,-0.15
Volkert,AIDE,0.8881036541737759
Volkert,AutoSklearn,-0.15
Volkert,H2O,-0.15
Volkert,Flaml,-0.15
Volkert,Autogluon,-0.15
