dataset_name,config,sub_task,llm_model,classifier,task_type,status,number_iteration,number_iteration_error,has_description,time_catalog_load,time_pipeline_generate,time_total,time_execution,train_auc,train_auc_ovo,train_auc_ovr,train_accuracy,train_f1_score,train_log_loss,train_r_squared,train_rmse,test_auc,test_auc_ovo,test_auc_ovr,test_accuracy,test_f1_score,test_log_loss,test_r_squared,test_rmse,prompt_token_count,all_token_count,operation,number_of_samples,dataset_name_orig,ID
oml_dataset_2_rnc,CatDB,,gpt-4o,Auto,binary,True,1,1,No,0.0053958892822265,11.696447849273682,0.8013520240783691,0.7893157005310059,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.9955641373551822,-2.0,-2.0,0.9761904761904762,0.9629629629629628,-2.0,-2.0,-2.0,1458,1458,Gen-and-Run-Pipeline,0,Breast-w,1
oml_dataset_2_rnc,CatDB,,gpt-4o,Auto,binary,True,2,1,No,0.0053958892822265,8.232306003570557,0.2060747146606445,0.1955389976501464,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.9955641373551822,-2.0,-2.0,0.9761904761904762,0.9629629629629628,-2.0,-2.0,-2.0,1458,1458,Gen-and-Run-Pipeline,0,Breast-w,1
oml_dataset_2_rnc,CatDB,,gpt-4o,Auto,binary,True,3,1,No,0.0053958892822265,16.341166973114014,0.2012581825256347,0.1914348602294922,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.9955641373551822,-2.0,-2.0,0.9761904761904762,0.9629629629629628,-2.0,-2.0,-2.0,1458,1458,Gen-and-Run-Pipeline,0,Breast-w,1
oml_dataset_2_rnc,CatDB,,gpt-4o,Auto,binary,True,4,1,No,0.0053958892822265,24.63350796699524,0.2100210189819336,0.2002041339874267,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.9955641373551822,-2.0,-2.0,0.9761904761904762,0.9629629629629628,-2.0,-2.0,-2.0,1458,1458,Gen-and-Run-Pipeline,0,Breast-w,1
oml_dataset_2_rnc,CatDB,,gpt-4o,Auto,binary,True,5,1,No,0.0053958892822265,27.83460235595703,0.203331708908081,0.1935601234436035,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.9955641373551822,-2.0,-2.0,0.9761904761904762,0.9629629629629628,-2.0,-2.0,-2.0,1458,1458,Gen-and-Run-Pipeline,0,Breast-w,1
oml_dataset_2_rnc,CatDB,,gpt-4o,Auto,binary,True,6,2,No,0.0053958892822265,13.115390300750732,14.405981540679932,0.1843233108520507,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.9955641373551822,-2.0,-2.0,0.9761904761904762,0.9629629629629628,-2.0,-2.0,-2.0,1458,2827,Gen-and-Run-Pipeline,0,Breast-w,1
oml_dataset_2_rnc,CatDB,,gpt-4o,Auto,binary,True,7,2,No,0.0053958892822265,17.49251961708069,11.160404682159424,0.1801826953887939,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.9952510176390774,-2.0,-2.0,0.961904761904762,0.9393939393939394,-2.0,-2.0,-2.0,1458,2840,Gen-and-Run-Pipeline,0,Breast-w,1
oml_dataset_2_rnc,CatDB,,gpt-4o,Auto,binary,True,8,2,No,0.0053958892822265,14.374406099319458,12.798837900161743,0.1955316066741943,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.9944682183488154,-2.0,-2.0,0.9761904761904762,0.9629629629629628,-2.0,-2.0,-2.0,1458,2988,Gen-and-Run-Pipeline,0,Breast-w,1
oml_dataset_2_rnc,CatDB,,gpt-4o,Auto,binary,True,9,1,No,0.0053958892822265,10.352048635482788,0.2032368183135986,0.1933600902557373,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.9926938732908882,-2.0,-2.0,0.9761904761904762,0.9629629629629628,-2.0,-2.0,-2.0,1458,1458,Gen-and-Run-Pipeline,0,Breast-w,1
oml_dataset_2_rnc,CatDB,,gpt-4o,Auto,binary,True,10,2,No,0.0053958892822265,15.807076692581177,10.144003868103027,0.1921770572662353,1.0,-2.0,-2.0,1.0,1.0,-2.0,-2.0,-2.0,0.9926938732908882,-2.0,-2.0,0.9761904761904762,0.9629629629629628,-2.0,-2.0,-2.0,1458,3872,Gen-and-Run-Pipeline,0,Breast-w,1
